NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40673,Laborat. de Analisis de Agua,A,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,M,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,J,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,V,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40675,Laborat. de Analisis de Aire,V,11:00 a. m.,02:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ4/201
40675,Laborat. de Analisis de Aire,L,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,A,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,M,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,J,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40671,Laborat. de Analisis de Suelo,V,08:00 a. m.,11:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,L,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,A,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,M,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,J,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40678,Laboratorio de Biorremediacion,A,12:00 p. m.,01:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,J,12:00 p. m.,01:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,L,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,M,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,V,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40569,Laboratorio de Ingenieria I,J,11:00 a. m.,12:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,V,11:00 a. m.,12:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,L,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,A,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,M,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40026,Lengua Extranjera III,A,08:00 a. m.,09:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,J,08:00 a. m.,09:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,L,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,M,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,V,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40027,Lengua Extranjera IV,A,12:00 p. m.,01:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,J,12:00 p. m.,01:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,L,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,M,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,V,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40028,Lengua Extranjera IV,A,03:00 p. m.,04:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,J,03:00 p. m.,04:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,L,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,M,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,V,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40681,Prev. Cont. de Conta. del Agua,A,08:00 a. m.,09:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,V,08:00 a. m.,09:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,L,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,M,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,J,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40682,Prev. Cont. de Conta. del Aire,L,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ7/204
40682,Prev. Cont. de Conta. del Aire,A,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ1/102
40682,Prev. Cont. de Conta. del Aire,M,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ7/201
40682,Prev. Cont. de Conta. del Aire,J,12:00 p. m.,03:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ1/103
40683,Prev. Cont. de Conta. del Suelo,A,02:00 p. m.,03:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,V,02:00 p. m.,03:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,L,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,M,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,J,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40627,Probabilidad y Estadistica,L,07:00 a. m.,08:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40627,Probabilidad y Estadistica,V,07:00 a. m.,08:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
